"","scientificName"
"747","Lolium multiflorum var. scabrum"
"748","Matricaria recutita"
"749","Oxybasis glauca"
"750","Oxybasis"
"751","Pedicularis adunca"
"752","Pilosella onegensis"
"753","Plantago salsa"
"754","Poa palustris var. major"
"755","Prunus domestica var. cereola"
"756","Prunus domestica var. juliana"
"757","Prunus domestica var. praecox"
"758","Reseda lutea var. lutea"
"759","Rhinanthus major"
"760","Ribes dikuscha"
"761","Rumex maritimus var. athrix"
"762","Rumex obtusifolius subsp. sylvestris"
"763","Rumex ucranicus"
"764","Saussurea alpina"
"765","Saxifraga spathularis"
"766","Triticum aestivum var. chini"
"767","Triticum aestivum var. album"
"768","Veronica gentianoides  subsp. glacialis"
"769","Vicia setifolia  var. setifolia"
"770","Vicia sativa  subsp. sativa"
"771","Viola tricolor f. alba"
"772","Dactyloctenium aegyptium"
"773","Senna bicapsularis"
"774","Cenchrus ciliaris"
"775","Eragrostis ciliaris"
"776","Echinochloa colona"
"777","Ricinus communis"
"778","Kalanchoe daigremontiana"
"779","Cryptostegia grandiflora"
"780","Cleome gynandra"
"781","Tabebuia heterophylla"
"782","Parthenium hysterophorus"
"783","Azadirachta indica"
"784","Lawsonia inermis"
"785","Senna italica"
"786","Ziziphus jujuba"
"787","Albizia lebbeck"
"788","Antigonon leptopus"
"789","Leucaena leucocephala"
"790","Chenopodium murale"
"791","Brachiaria mutica"
"792","Moringa oleifera"
"793","Bothriochloa pertusa"
"794","Calotropis procera"
"795","Pennisetum purpureum"
"796","Melinis repens"
"797","Catharanthus roseus"
"798","Cyperus rotundus"
"799","Paliurus spina-christi"
"800","Ziziphus spina-christi"
"801","Tecoma stans"
"802","Clitoria ternatea"
"803","Aloe vera"
"804","Aloe succotrina"
"805","Cleome viscosa"
"806","Erythrina abyssinica"
"807","Erythrina abyssinica  subsp. abyssinica"
"808","Rumex abyssinicus"
"809","Parkinsonia aculeata"
"810","Ageratina adenophora"
"811","Solanum aethiopicum"
"812","Inga affinis"
"813","Inga pilosula"
"814","Funtumia africana"
"815","Senna alata"
"816","Populus alba"
"817","Ipomoea alba"
"818","Melilotus albus"
"819","Phyllanthus amarus"
"820","Dysphania ambrosioides"
"821","Schwenckia americana"
"822","Solanum americanum"
"823","Physalis angulata"
