"","scientificName"
"771","Lotus corniculatus"
"772","Lupinus polyphyllus"
"773","Luzula luzuloides"
"774","Luzula pallescens"
"775","Anchusa arvensis"
"776","Lysimachia arvensis"
"777","Malus pumila"
"778","Malva pusilla"
"779","Matricaria recutita"
"780","Medicago lupulina"
"781","Medicago falcata  subsp. falcata"
"782","Medicago polymorpha"
"783","Medicago varia"
"784","Mentha arvensis"
"785","Neslia paniculata"
"786","Papaver somniferum"
"787","Pedicularis adunca"
"788","Pilosella onegensis"
"789","Pimpinella saxifraga"
"790","Lathyrus oleraceus"
"791","Plantago salsa"
"792","Poa nemoralis"
"793","Poa palustris"
"794","Potentilla argentea"
"795","Potentilla intermedia"
"796","Potentilla pensylvanica"
"797","Potentilla supina  var. ternata"
"798","Potentilla thuringiaca"
"799","Prunus spinosa"
"800","Raphanus raphanistrum"
"801","Raphanus raphanistrum  subsp. sativus"
"802","Reseda lutea var. lutea"
"803","Rheum rhabarbarum"
"804","Rhinanthus alectorolophus"
"805","Ribes dikuscha"
"806","Rorippa sylvestris"
"807","Rumex maritimus var. athrix"
"808","Rumex obtusifolius"
"809","Rumex thyrsiflorus"
"810","Rumex ucranicus"
"811","Sanguisorba officinalis"
"812","Saussurea alpina"
"813","Saxifraga hypnoides"
"814","Saxifraga spathularis"
"815","Secale cereale"
"816","Senecio vernalis"
"817","Silene flos-cuculi"
"818","Silene noctiflora"
"819","Sinapis alba"
"820","Sisymbrium altissimum"
"821","Sisymbrium loeselii"
"822","Sisymbrium polymorphum"
"823","Symphytum asperum"
"824","Tragopogon orientalis"
"825","Trifolium arvense"
"826","Trifolium lupinaster"
"827","Trifolium montanum"
"828","Trifolium spadiceum"
"829","Trifolium variegatum"
"830","Triticum durum"
"831","Tussilago farfara"
"832","Valeriana officinalis"
"833","Veronica chamaedrys"
"834","Veronica gentianoides  subsp. glacialis"
"835","Veronica longifolia"
"836","Vicia setifolia  var. setifolia"
"837","Vicia sativa  subsp. sativa"
"838","Vicia tetrasperma"
"839","Viola arvensis"
"840","Viola tricolor f. alba"
"841","Dactyloctenium aegyptium"
"842","Senna bicapsularis"
"843","Cenchrus ciliaris"
"844","Eragrostis ciliaris"
"845","Echinochloa colona"
"846","Ricinus communis"
"847","Kalanchoe daigremontiana"
"848","Cryptostegia grandiflora"
"849","Cleome gynandra"
"850","Tabebuia heterophylla"
"851","Parthenium hysterophorus"
"852","Azadirachta indica"
"853","Lawsonia inermis"
"854","Senna italica"
"855","Ziziphus jujuba"
"856","Albizia lebbeck"
"857","Antigonon leptopus"
"858","Leucaena leucocephala"
"859","Chenopodium murale"
"860","Brachiaria mutica"
"861","Moringa oleifera"
"862","Bothriochloa pertusa"
"863","Calotropis procera"
"864","Pennisetum purpureum"
"865","Melinis repens"
"866","Catharanthus roseus"
"867","Cyperus rotundus"
"868","Ziziphus spina-christi"
"869","Tecoma stans"
"870","Clitoria ternatea"
"871","Aloe vera"
"872","Cleome viscosa"
