refinedScientificName,usageKey
Antigonon guatimalense,4034328
Antigonon leptopus,2889355
Antirrhinum majus,3172001
Antirrhinum majus tortuosum,4936208
Antirrhinum siculum,7740323
Apera interrupta,5289643
Apera spica-venti,5289642
Aphanamixis polystachya,5597304
Aphanes arvensis,5365013
Aphanes australis,5365026
Aphanes microcarpa,9062455
Aphanopetalum resinosum,3613622
Aphanostephus skirrhobasis,7581462
Aphelandra arborea,7702938
Aphelandra aurantiaca,7264328
Aphelandra pulcherrima,3173229
Aphelandra sinclairiana,3776906
Apios americana,2966796
Apium graveolens,5371879
Apium nodiflorum,5371882
Apium prostratum,5371881
Apium repens,7808195
Apium sellowianum,5539490
Apluda mutica,5289910
Apocynum cannabinum,3169790
Apocynum venetum sarmatiense,10937466
Apodanthera aspera,3625813
Apodytes dimidiata,3597463
Aponogeton distachyos,5328593
Aponogeton distachyus,5535206
Aponogeton madagascariensis,5328626
Aporocactus flagelliformis,7283331
Aposeris foetida,3094355
Apowollastonia spilanthoides,9265410
Aquarius cordifolius,11062899
Aquarius floribundus,11105032
Aquarius scaber,10250021
Aquilegia,3033167
Aquilegia chrysantha,3033196
Aquilegia dichroa,3931367
Aquilegia flabellata,3931157
Aquilegia pubescens,3033192
Aquilegia pyrenaica,7527324
Aquilegia vulgaris,3033191
Arabidopsis arenosa,3052509
Arabidopsis halleri,3052450
Arabidopsis suecica,3052544
Arabidopsis thaliana,3052436
Arabis blepharophylla,5374908
Arabis caucasica,5374922
Arabis collina,5374998
Arabis eschscholtziana,5375092
Arabis planisiliqua,5374933
Arabis procurrens,5375012
Arachis duranensis,5353841
Arachis glabrata,5353813
Arachis hypogaea,5353770
Arachis pintoi,5353826
Arachis prostrata,5353784
Arachis repens,5353781
Arachniodes macrostegia,4040000
Arachniodes simplicior,2650954
Aralia chinensis,3036940
Aralia elata,3036892
Aralia racemosa,3036958
Aralia spinosa,3036972
Araucaria angustifolia,2684940
Araucaria araucana,2684984
Araucaria bidwillii,2684918
Araucaria columnaris,2684921
Araucaria cunninghamii,2684996
Araucaria heterophylla,2684969
Araujia sericifera,3170442
Arbutus andrachne,4170901
Arbutus unedo,2882803
Archontophoenix alexandrae,2732609
Archontophoenix cunninghamiana,2732621
Arctium lappa,7353729
Arctium minus,5393103
Arctium mixtum,5393120
Arctium nothum,9378826
Arctotheca calendula,3114986
Arctotheca populifolia,3114968
Arctotheca prostrata,3114978
Arctotis acaulis,7631258
Arctotis arctotoides,7764662
Arctotis fastuosa,5406147
Arctotis hybrida,5406187
Arctotis stoechadifolia,5406226
Arctotis venusta,5406166
Ardisia crenata,5414379
Ardisia crispa,7169429
Ardisia elliptica,5414375
Ardisia guianensis,5558301
Ardisia humilis,5558193
Ardisia japonica,5558066
Ardisia polysticta,7331082
Ardisia sieboldii,7330962
Ardisia solanacea,5414378
