"x"
"Dactyloctenium aegyptium"
"Coriandrum sativum"
"Crotalaria spectabilis"
"Tithonia tubaeformis"
"Dianthus armeria"
"Centaurea benedicta"
"Epilobium brachycarpum"
"Chenopodium carnosulum"
"Myosotis discolor"
"Trifolium glomeratum"
"Herniaria hirsuta  subsp. cinerea"
"Agrostis idahoensis"
"Apera interrupta"
"Conium maculatum"
"Malva moschata"
"Mesembryanthemum nodiflorum"
"Stellaria pallida"
"Lotus pedunculatus"
"Lepidium perfoliatum"
"Lupinus polyphyllus"
"Hornungia procumbens"
"Erysimum repandum"
"Bromus secalinus"
"Bromus sterilis"
"Myosotis stricta"
"Senecio sylvaticus"
"Chorispora tenella"
"Chenopodium vulvaria"
"Pyracantha angustifolia"
"Pimpinella anisum"
"Mentha aquatica"
"Silene armeria"
"Anchusa arvensis"
"Fumaria densiflora"
"Lepidium draba  subsp. chalepense"
"Chenopodium glaucum"
"Coreopsis lanceolata"
"Lepidium latifolium"
"Onopordum nervosum"
"Cucurbita pepo"
"Salvia reflexa"
"Arctotis stoechadifolia"
"Heterotheca subaxillaris"
"Tecoma capensis"
"Aleurites moluccanus"
"Echinochloa oryzoides"
"Eragrostis patula"
"Duranta stenostachya"
"Euphorbia thymifolia"
"Amaranthus dubius"
"Sisymbrium erysimoides"
"Misopates orontium"
"Salvia splendens"
"Fumaria bastardii"
"Lotus corniculatus"
"Avena strigosa"
"Thunbergia alata"
"Panicum antidotale"
"Cosmos bipinnatus"
"Sesbania bispinosa"
"Eucalyptus grandis"
"Agrimonia parviflora"
"Prunus persica"
"Digitalis purpurea"
"Eucalyptus quadrangulata"
"Tithonia rotundifolia"
"Malcolmia africana"
"Colutea arborescens"
"Caucalis platycarpos"
"Cylindropuntia tunicata"
"Artemisia douglasiana"
"Eriochloa pseudoacrotricha"
"Ranunculus falcatus"
"Apium graveolens"
"Persicaria minor"
"Medicago monspeliaca"
"Sphaerophysa salsula"
"Montanoa bipinnatifida"
"Hovenia dulcis"
"Vernicia fordii"
"Emilia fosbergii"
"Eriobotrya japonica"
"Cynodon plectostachyus"
"Artemisia abrotanum"
"Iberis amara"
"Lepidium appelianum"
"Lupinus arboreus"
"Aphanes arvensis"
"Knautia arvensis"
"Trifolium aureum"
"Linaria dalmatica"
"Malus domestica"
"Trisetum flavescens"
"Briza media"
"Pilosella piloselloides  subsp. praealta"
"Descurainia pinnata"
"Amaranthus powellii  subsp. bouchonii"
"Linaria purpurea"
"Rubus radicans"
"Malus sylvestris"
"Echium vulgare"
"Suaeda altissima"
"Polygonum arenarium"
"Anthriscus caucalis"
"Spergularia diandra"
"Zygophyllum fabago"
"Rosa micrantha"
"Claytonia perfoliata"
"Lepidium pinnatifidum"
"Cardamine africana"
"Persea americana"
"Clerodendrum chinense"
"Dahlia pinnata"
"Austrostipa plumigera"
"Campsis radicans"
"Grevillea robusta"
"Sisymbrium austriacum"
"Festuca filiformis"
"Malcolmia maritima"
"Aira praecox"
"Sisymbrium runcinatum"
"Lepidium sativum"
"Arabidopsis thaliana"
"Lemna disperma"
"Ratibida columnifera"
"Sinapis alba"
"Trifolium campestre"
"Hesperis matronalis"
"Lamium purpureum  var. hybridum"
"Trifolium spadiceum"
"Cynodon nlemfuensis"
"Chrysopogon aciculatus"
"Eragrostis amabilis"
"Centella asiatica"
"Chloris barbata"
"Bothriochloa bladhii"
"Amaranthus blitum  subsp. oleraceus"
"Kyllinga brevifolia"
"Dioscorea bulbifera"
"Digitaria ciliaris"
"Morinda citrifolia"
"Axonopus compressus"
"Paspalum conjugatum"
"Sporobolus diandrus"
"Fimbristylis dichotoma"
"Commelina diffusa"
"Inocarpus fagifer"
"Paspalum fimbriatum"
"Schizostachyum glaucifolium"
"Urochloa glumaris"
"Oplismenus hirtellus"
"Digitaria horizontalis"
"Euphorbia hypericifolia"
"Ludwigia hyssopifolia"
"Desmodium incanum"
"Bischofia javanica"
"Uraria lagopodoides"
"Acalypha lanceolata"
"Centotheca lappacea"
"Tacca leontopetaloides"
"Mikania micrantha"
"Pueraria montana  var. lobata"
"Abelmoschus moschatus"
"Kyllinga x nemoralis"
"Ludwigia octovalvis"
"Cyrtococcum oxyphyllum"
"Amorphophallus paeoniifolius"
"Polygala paniculata"
"Peperomia pellucida"
"Pycreus polystachyos"
"Abrus precatorius"
"Eriochloa procera"
"Justicia procumbens"
"Euploca procumbens"
"Ruellia prostrata"
"Euphorbia prostrata"
"Mimosa pudica"
"Ruellia blechum"
"Portulaca quadrifida"
"Digitaria radicosa"
"Spermacoce remota"
"Triumfetta rhomboidea"
"Sida samoensis"
"Premna serratifolia"
"Paspalum setaceum"
"Emilia sonchifolia"
"Gardenia taitensis"
"Zoysia matrella  var. matrella"
"Grona heterophylla"
"Cyrtococcum trigonum"
"Wedelia triloba"
"Ruellia tuberosa"
"Alysicarpus vaginalis"
"Paspalum vaginatum"
"Zingiber zerumbet"
"Cordia aspera"
"Cyperus compressus"
"Crassocephalum crepidioides"
"Leucas decemdentata"
"Spermacoce exilis"
"Grona heterocarpa  var. strigosa"
"Miconia crenata"
"Euodia hortensis"
"Citrus hystrix"
"Parinari insularum"
"Laportea interrupta"
"Pilea microphylla"
"Atuna excelsa  subsp. racemosa"
"Boerhavia repens"
"Eleutheranthera ruderalis"
"Syzygium samarangense"
"Clerodendrum speciosissimum"
"Stictocardia tiliifolia"
"Adenostemma viscosum"
"Oldenlandia corymbosa"
"Canarium harveyi"
"Garcinia myrtifolia"
"Phyllanthus urinaria"
"Phyllanthus virgatus"
"Strobilanthes alternata"
"Eleocharis geniculata"
"Zephyranthes rosea"
"Laportea ruderalis"
"Oxalis barrelieri"
"Oplismenus compositus"
"Phaleria disperma"
"Sorghum x drummondii"
"Endiandra elaeocarpa"
"Castilla elastica"
"Flueggea flexuosa"
"Pluchea indica"
"Cyperus involucratus"
"Stachytarpheta jamaicensis"
"Dioscorea pentaphylla"
"Cyathula prostrata"
"Setaria pumila"
"Limnophila rugosa"
"Pseudelephantopus spicatus"
"Brachiaria subquadripara"
"Erythrina subumbrans"
"Senna tora"
"Operculina ventricosa"
"Erechtites valerianifolia"
"Rhopalephora vitiensis"
"Bonnaya antipoda"
"Spathodea campanulata"
"Cuphea carthagenensis"
"Fimbristylis complanata"
"Phyllanthus debilis"
"Erythrina fusca"
"Asystasia gangetica"
"Microstegium glabratum"
"Indigofera hirsuta"
"Benincasa hispida"
"Polytrias indica"
"Sacciolepis indica"
"Mimosa invisa"
"Youngia japonica"
"Macroptilium lathyroides"
"Passiflora maliformis"
"Melinis minutiflora"
"Syzygium neurocalyx"
"Crotalaria pallida"
"Paspalum paniculatum"
"Lemna perpusilla"
"Passiflora quadrangularis"
"Chloris radiata"
"Heterotis rotundifolia"
"Stenotaphrum secundatum"
"Senna sophera"
"Struchium sparganophorum"
"Indigofera spicata"
"Acmella uliginosa"
"Merremia umbellata"
"Cinnamomum verum"
"Digitaria violascens"
"Pandanus whitmeeanus"
"Phyllanthus acidus"
"Pereskia aculeata"
"Luffa acutangula"
"Monstera adansonii"
"Dioscorea alata"
"Plectranthus amboinicus"
"Coffea arabica"
"Maranta arundinacea"
"Barringtonia asiatica"
"Achyranthes aspera  var. pubescens"
"Plumbago auriculata"
"Senna bacillaris"
"Setaria barbata"
"Crinum bulbispermum"
"Theobroma cacao"
"Solanum capsicoides"
"Allamanda cathartica"
"Cosmos caudatus"
"Zephyranthes citrina"
"Emilia coccinea"
"Opuntia cochenillifera"
"Heteropogon contortus"
"Cyanotis cucullata"
"Syzygium cumini"
"Casuarina equisetifolia"
"Tagetes erecta"
"Brachiaria eruciformis"
"Colocasia esculenta"
"Abelmoschus esculentus"
"Maranta gibba"
"Galphimia gracilis"
"Jasminum grandiflorum"
"Artocarpus heterophyllus"
"Lagerstroemia indica"
"Abutilon guineense"
"Pachira insignis"
"Syzygium jambos"
"Prosopis juliflora"
"Crotalaria juncea"
"Tripsacum latifolium"
"Coffea liberica"
"Digitaria longiflora"
"Barleria lupulina"
"Alocasia macrorrhizos"
"Solanum mammosum"
"Leucas martinicensis"
"Zea mays"
"Ficus microcarpa"
"Jasminum multiflorum"
"Annona muricata"
"Tephrosia noctiflora"
"Ipomoea obscura"
"Dianthera pectoralis"
"Syngonium podophyllum"
"Barleria prionitis"
"Eranthemum pulchellum"
"Libidibia punctata"
"Hippeastrum puniceum"
"Lablab purpureus"
"Crotalaria quinquefolia"
"Phoenix reclinata"
"Annona reticulata"
"Cleome rutidosperma"
"Sesbania sericea"
"Lagenaria siceraria"
"Tradescantia spathacea"
"Bougainvillea spectabilis"
"Annona squamosa"
"Flemingia strobilifera"
"Senna sulfurea"
"Nicotiana tabacum"
"Bauhinia tomentosa"
"Crotalaria trichotoma"
"Triphasia trifolia"
"Eragrostis unioloides"
"Erythrina velutina"
"Chloris virgata"
"Hibiscus vitifolius"
"Petrea volubilis"
"Tradescantia zebrina"
"Chrysopogon zizanioides"
"Basella alba"
"Nekemias arborea"
"Amaranthus cruentus"
"Ursinia anthemoides"
"Mesembryanthemum crystallinum"
"Bromus diandrus"
"Ehrharta longiflora"
"Silene nocturna"
"Cenchrus brownii"
"Sesbania cannabina"
"Lepidium englerianum"
"Ehrharta brevifolia"
"Solanum laciniatum"
"Isolepis marginata"
"Centaurium maritimum"
"Orobanche minor"
"Schenkia spicata"
"Lycium ferocissimum"
"Erigeron karvinskianus"
"Emex australis"
